question,topic,difficulty,watson_context,validated
Identify the correct description about the given figure.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
What is the function of mitochondria?,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
Which organelle is called the powerhouse of the cell?,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
State the role of the vacuole in a plant cell.,Botany,easy,"Mock Watson context for Botany: focus on definitions, key facts, and figure clues.",True
Name the jelly-like substance filling the cell.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
What structures are responsible for protein synthesis?,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
Identify the organelle shown in this diagram.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
Distinguish between prokaryotic and eukaryotic cells.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
What is the primary function of the cell wall?,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
Where is the genetic material located in a plant cell?,Botany,easy,"Mock Watson context for Botany: focus on definitions, key facts, and figure clues.",True
Describe the structure of a mitochondrion.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True
