question,topic,difficulty,watson_context,validated,options,answer,explanation
Identify the correct description about the given figure.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
What is the function of mitochondria?,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
Which organelle is called the powerhouse of the cell?,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
State the role of the vacuole in a plant cell.,Botany,easy,"Mock Watson context for Botany: focus on definitions, key facts, and figure clues.",True,"{'A': 'Plant cell / plant structure related correct answer', 'B': 'Animal cell / animal structure distractor', 'C': 'Fungal structure distractor', 'D': 'Bacterial structure distractor'}",A,"Based on Mock Watson context for Botany: focus on definitions, key facts, and figure clues."
Name the jelly-like substance filling the cell.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
What structures are responsible for protein synthesis?,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
Identify the organelle shown in this diagram.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
Distinguish between prokaryotic and eukaryotic cells.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
What is the primary function of the cell wall?,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
Where is the genetic material located in a plant cell?,Botany,easy,"Mock Watson context for Botany: focus on definitions, key facts, and figure clues.",True,"{'A': 'Plant cell / plant structure related correct answer', 'B': 'Animal cell / animal structure distractor', 'C': 'Fungal structure distractor', 'D': 'Bacterial structure distractor'}",A,"Based on Mock Watson context for Botany: focus on definitions, key facts, and figure clues."
Describe the structure of a mitochondrion.,General Biology,easy,"Mock Watson context for General Biology: focus on definitions, key facts, and figure clues.",True,"{'A': 'General Biology correct answer', 'B': 'Unrelated distractor 1', 'C': 'Unrelated distractor 2', 'D': 'Unrelated distractor 3'}",A,"Based on Mock Watson context for General Biology: focus on definitions, key facts, and figure clues."
